Name,total points,serve points ,return,%all serves won,% 1st serve points won,1st serves,overall 1st serve in %,deuce 1st serve in %,ad 1st serve in %,1st pts won deuce,1st pts won ad,1st in net,% in net,1st out,% out,1st serve %,1st serve deuce,% deuce,1st serve ad,% ad,aces,1st serve returned in play,% in play,Not returned,error,% not returned,1st returned for winner,% return winner ,1st ret in play deuce,ret err,% in play deuce,1st in play ad,ret errr,% in play ad,% 2nd serve points won,2nd won deuce%,2nd won ad%,2nd serves,2nd in net,%2nd  in net,2nd out,%out.1,2nd serve in ,2nd serve %,Double faults,DF %,2nd serve returned,% in play.1,2nd Not returned,% not returned.1,2nd  returned for winner,% return winner .1,Serve games won,Serve games lost,Serve game win%,Break points saved,Break points lost,Break point save %,serve points,return points
Olivia Soffer,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,11.0
Caitlyn Ferrante,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,138.0
Ruth Hill,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,68.0
Anson Anderson,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,118.0
Gianni Esposito,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,22.0
Isabella Kruger,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,71.0
Valdemar Pape,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,34.0
Nicolas Kotzen,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,116.0
Matias Ponce De Leon,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,45.0
Jonah Wilson,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,23.0
Kerem Ozlale,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,22.0
Chahana Budhbhatti,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,42.0
